yourlist:M202206164ABAA9BC7178C81CEBC9459510EDDEA35117681	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
hsa:3426	P05156	CFAI_HUMAN	reviewed	Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain]	CFI IF	Homo sapiens (Human)	583
hsa:3684	P11215	ITAM_HUMAN	reviewed	Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b)	ITGAM CD11B CR3A	Homo sapiens (Human)	1152
hsa:3687	P20702	ITAX_HUMAN	reviewed	Integrin alpha-X (CD11 antigen-like family member C) (Leu M5) (Leukocyte adhesion glycoprotein p150,95 alpha chain) (Leukocyte adhesion receptor p150,95) (CD antigen CD11c)	ITGAX CD11C	Homo sapiens (Human)	1163
hsa:3689	P05107	ITB2_HUMAN	reviewed	Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)	ITGB2 CD18 MFI7	Homo sapiens (Human)	769
hsa:3818	P03952	KLKB1_HUMAN	reviewed	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]	KLKB1 KLK3	Homo sapiens (Human)	638
hsa:3827	P01042	KNG1_HUMAN	reviewed	Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor]	KNG1 BDK KNG	Homo sapiens (Human)	644
hsa:4153	P11226	MBL2_HUMAN	reviewed	Mannose-binding protein C (MBP-C) (Collectin-1) (MBP1) (Mannan-binding protein) (Mannose-binding lectin)	MBL2 COLEC1 MBL	Homo sapiens (Human)	248
hsa:4179	P15529	MCP_HUMAN	reviewed	Membrane cofactor protein (TLX) (Trophoblast leukocyte common antigen) (CD antigen CD46)	CD46 MCP MIC10	Homo sapiens (Human)	392
hsa:462	P01008	ANT3_HUMAN	reviewed	Antithrombin-III (ATIII) (Serpin C1)	SERPINC1 AT3 PRO0309	Homo sapiens (Human)	464
hsa:5054	P05121	PAI1_HUMAN	reviewed	Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1)	SERPINE1 PAI1 PLANH1	Homo sapiens (Human)	402
hsa:5055	P05120	PAI2_HUMAN	reviewed	Plasminogen activator inhibitor 2 (PAI-2) (Monocyte Arg-serpin) (Placental plasminogen activator inhibitor) (Serpin B2) (Urokinase inhibitor)	SERPINB2 PAI2 PLANH2	Homo sapiens (Human)	415
hsa:5104	P05154	IPSP_HUMAN	reviewed	Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5)	SERPINA5 PCI PLANH3 PROCI	Homo sapiens (Human)	406
hsa:5265	P01009	A1AT_HUMAN	reviewed	Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)]	SERPINA1 AAT PI PRO0684 PRO2209	Homo sapiens (Human)	418
hsa:5327	P00750	TPA_HUMAN	reviewed	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	PLAT	Homo sapiens (Human)	562
hsa:5328	P00749	UROK_HUMAN	reviewed	Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B]	PLAU	Homo sapiens (Human)	431
hsa:5329	Q03405	UPAR_HUMAN	reviewed	Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (Monocyte activation antigen Mo3) (CD antigen CD87)	PLAUR MO3 UPAR	Homo sapiens (Human)	335
hsa:5340	P00747	PLMN_HUMAN	reviewed	Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]	PLG	Homo sapiens (Human)	810
hsa:5345	P08697	A2AP_HUMAN	reviewed	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	SERPINF2 AAP PLI	Homo sapiens (Human)	491
hsa:5624	P04070	PROC_HUMAN	reviewed	Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide]	PROC	Homo sapiens (Human)	461
hsa:5627	P07225	PROS_HUMAN	reviewed	Vitamin K-dependent protein S	PROS1 PROS	Homo sapiens (Human)	676
hsa:5648	P48740	MASP1_HUMAN	reviewed	Mannan-binding lectin serine protease 1 (EC 3.4.21.-) (Complement factor MASP-3) (Complement-activating component of Ra-reactive factor) (Mannose-binding lectin-associated serine protease 1) (MASP-1) (Mannose-binding protein-associated serine protease) (Ra-reactive factor serine protease p100) (RaRF) (Serine protease 5) [Cleaved into: Mannan-binding lectin serine protease 1 heavy chain; Mannan-binding lectin serine protease 1 light chain]	MASP1 CRARF CRARF1 PRSS5	Homo sapiens (Human)	699
hsa:623	P46663	BKRB1_HUMAN	reviewed	B1 bradykinin receptor (B1R) (BK-1 receptor)	BDKRB1 BRADYB1	Homo sapiens (Human)	353
hsa:624	P30411	BKRB2_HUMAN	reviewed	B2 bradykinin receptor (B2R) (BK-2 receptor)	BDKRB2 BKR2	Homo sapiens (Human)	391
hsa:629	P00751	CFAB_HUMAN	reviewed	Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment]	CFB BF BFD	Homo sapiens (Human)	764
hsa:7035	P10646	TFPI1_HUMAN	reviewed	Tissue factor pathway inhibitor (TFPI) (Extrinsic pathway inhibitor) (EPI) (Lipoprotein-associated coagulation inhibitor) (LACI)	TFPI LACI TFPI1	Homo sapiens (Human)	304
hsa:7056	P07204	TRBM_HUMAN	reviewed	Thrombomodulin (TM) (Fetomodulin) (CD antigen CD141)	THBD THRM	Homo sapiens (Human)	575
hsa:710	P05155	IC1_HUMAN	reviewed	Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)	SERPING1 C1IN C1NH	Homo sapiens (Human)	500
hsa:712	P02745	C1QA_HUMAN	reviewed	Complement C1q subcomponent subunit A	C1QA	Homo sapiens (Human)	245
hsa:713	P02746	C1QB_HUMAN	reviewed	Complement C1q subcomponent subunit B	C1QB	Homo sapiens (Human)	253
hsa:714	P02747	C1QC_HUMAN	reviewed	Complement C1q subcomponent subunit C	C1QC C1QG	Homo sapiens (Human)	245
hsa:715	P00736	C1R_HUMAN	reviewed	Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain]	C1R	Homo sapiens (Human)	705
hsa:716	P09871	C1S_HUMAN	reviewed	Complement C1s subcomponent (EC 3.4.21.42) (C1 esterase) (Complement component 1 subcomponent s) [Cleaved into: Complement C1s subcomponent heavy chain; Complement C1s subcomponent light chain]	C1S	Homo sapiens (Human)	688
hsa:717	P06681	CO2_HUMAN	reviewed	Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment]	C2	Homo sapiens (Human)	752
hsa:718	P01024	CO3_HUMAN	reviewed	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	C3 CPAMD1	Homo sapiens (Human)	1663
hsa:719	Q16581	C3AR_HUMAN	reviewed	C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R)	C3AR1 AZ3B C3R1 HNFAG09	Homo sapiens (Human)	482
hsa:720,hsa:721	P0C0L4	CO4A_HUMAN	reviewed	Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; C4b-A; C4d-A; Complement C4 gamma chain]	C4A CO4 CPAMD2	Homo sapiens (Human)	1744
hsa:721	P0C0L5	CO4B_HUMAN	reviewed	Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain]	C4B CO4 CPAMD3; C4B_2	Homo sapiens (Human)	1744
hsa:722	P04003	C4BPA_HUMAN	reviewed	C4b-binding protein alpha chain (C4bp) (Proline-rich protein) (PRP)	C4BPA C4BP	Homo sapiens (Human)	597
hsa:725	P20851	C4BPB_HUMAN	reviewed	C4b-binding protein beta chain	C4BPB	Homo sapiens (Human)	252
hsa:727	P01031	CO5_HUMAN	reviewed	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	C5 CPAMD4	Homo sapiens (Human)	1676
hsa:728	P21730	C5AR1_HUMAN	reviewed	C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88)	C5AR1 C5AR C5R1	Homo sapiens (Human)	350
hsa:729	P13671	CO6_HUMAN	reviewed	Complement component C6	C6	Homo sapiens (Human)	934
hsa:730	P10643	CO7_HUMAN	reviewed	Complement component C7	C7	Homo sapiens (Human)	843
hsa:731	P07357	CO8A_HUMAN	reviewed	Complement component C8 alpha chain (Complement component 8 subunit alpha)	C8A	Homo sapiens (Human)	584
hsa:732	P07358	CO8B_HUMAN	reviewed	Complement component C8 beta chain (Complement component 8 subunit beta)	C8B	Homo sapiens (Human)	591
hsa:733	P07360	CO8G_HUMAN	reviewed	Complement component C8 gamma chain	C8G	Homo sapiens (Human)	202
hsa:735	P02748	CO9_HUMAN	reviewed	Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b]	C9	Homo sapiens (Human)	559
hsa:7448	P04004	VTNC_HUMAN	reviewed	Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]	VTN	Homo sapiens (Human)	478
hsa:7450	P04275	VWF_HUMAN	reviewed	von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]	VWF F8VWF	Homo sapiens (Human)	2813
hsa:81494	Q9BXR6	FHR5_HUMAN	reviewed	Complement factor H-related protein 5 (FHR-5)	CFHR5 CFHL5 FHR5	Homo sapiens (Human)	569
hsa:9002	Q96RI0	PAR4_HUMAN	reviewed	Proteinase-activated receptor 4 (PAR-4) (Coagulation factor II receptor-like 3) (Thrombin receptor-like 3)	F2RL3 PAR4	Homo sapiens (Human)	385
hsa:966	P13987	CD59_HUMAN	reviewed	CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59)	CD59 MIC11 MIN1 MIN2 MIN3 MSK21	Homo sapiens (Human)	128
