yourlist:M202205245BF3C56A578D7D6DFD1FC81EE5DA77304E151FU	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
MARHA_HUMAN	Q8NA82	MARHA_HUMAN	reviewed	Probable E3 ubiquitin-protein ligase MARCHF10 (EC 2.3.2.27) (Membrane-associated RING finger protein 10) (Membrane-associated RING-CH protein X) (MARCH-X) (RING finger protein 190) (RING-type E3 ubiquitin transferase MARCHF10)	MARCHF10 MARCH10 RNF190	Homo sapiens (Human)	808
MARHB_HUMAN	A6NNE9	MARHB_HUMAN	reviewed	E3 ubiquitin-protein ligase MARCHF11 (EC 2.3.2.27) (Membrane-associated RING finger protein 11) (Membrane-associated RING-CH protein XI) (MARCH-XI) (RING-type E3 ubiquitin transferase MARCHF11)	MARCHF11 MARCH11	Homo sapiens (Human)	402
SEPT1_HUMAN	Q8WYJ6	SEPT1_HUMAN	reviewed	Septin-1 (LARP) (Peanut-like protein 3) (Serologically defined breast cancer antigen NY-BR-24)	SEPTIN1 DIFF6 PNUTL3 SEPT1	Homo sapiens (Human)	372
SEPT2_HUMAN	Q15019	SEPT2_HUMAN	reviewed	Septin-2 (Neural precursor cell expressed developmentally down-regulated protein 5) (NEDD-5)	SEPTIN2 DIFF6 KIAA0158 NEDD5 SEPT2	Homo sapiens (Human)	361
SEPT3_HUMAN	Q9UH03	SEPT3_HUMAN	reviewed	Neuronal-specific septin-3	SEPTIN3 SEP3 SEPT3	Homo sapiens (Human)	358
SEPT4_HUMAN	O43236	SEPT4_HUMAN	reviewed	Septin-4 (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Peanut-like protein 2)	SEPTIN4 C17orf47 PNUTL2 SEP4 SEPT4 hucep-7	Homo sapiens (Human)	478
SEPT5_HUMAN	Q99719	SEPT5_HUMAN	reviewed	Septin-5 (Cell division control-related protein 1) (CDCrel-1) (Peanut-like protein 1)	SEPTIN5 PNUTL1 SEPT5	Homo sapiens (Human)	369
SEPT6_HUMAN	Q14141	SEPT6_HUMAN	reviewed	Septin-6	SEPTIN6 KIAA0128 SEP2 SEPT6	Homo sapiens (Human)	434
SEPT7_HUMAN	Q16181	SEPT7_HUMAN	reviewed	Septin-7 (CDC10 protein homolog)	SEPTIN7 CDC10 SEPT7	Homo sapiens (Human)	437
SEPT8_HUMAN	Q92599	SEPT8_HUMAN	reviewed	Septin-8	SEPTIN8 KIAA0202 SEPT8	Homo sapiens (Human)	483
SEPT9_HUMAN	Q9UHD8	SEPT9_HUMAN	reviewed	Septin-9 (MLL septin-like fusion protein MSF-A) (MLL septin-like fusion protein) (Ovarian/Breast septin) (Ov/Br septin) (Septin D1)	SEPTIN9 KIAA0991 MSF SEPT9	Homo sapiens (Human)	586
SEP10_HUMAN	Q9P0V9	SEP10_HUMAN	reviewed	Septin-10	SEPTIN10 SEPT10	Homo sapiens (Human)	454
SEP11_HUMAN	Q9NVA2	SEP11_HUMAN	reviewed	Septin-11	SEPTIN11 SEPT11	Homo sapiens (Human)	429
SEP12_HUMAN	Q8IYM1	SEP12_HUMAN	reviewed	Septin-12	SEPTIN12 SEPT12	Homo sapiens (Human)	358
SEP14_HUMAN	Q6ZU15	SEP14_HUMAN	reviewed	Septin-14	SEPTIN14 SEPT14	Homo sapiens (Human)	432
A1BG_HUMAN	P04217	A1BG_HUMAN	reviewed	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	A1BG	Homo sapiens (Human)	495
A1CF_HUMAN	Q9NQ94	A1CF_HUMAN	reviewed	APOBEC1 complementation factor (APOBEC1-stimulating protein)	A1CF ACF ASP	Homo sapiens (Human)	594
A2ML1_HUMAN	A8K2U0	A2ML1_HUMAN	reviewed	Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)	A2ML1 CPAMD9	Homo sapiens (Human)	1454
A3LT2_HUMAN	U3KPV4	A3LT2_HUMAN	reviewed	Alpha-1,3-galactosyltransferase 2 (EC 2.4.1.87) (Isoglobotriaosylceramide synthase) (iGb3 synthase) (iGb3S)	A3GALT2 A3GALT2P IGBS3S	Homo sapiens (Human)	340
A4GAT_HUMAN	Q9NPC4	A4GAT_HUMAN	reviewed	Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (CD77 synthase) (Globotriaosylceramide synthase) (Gb3 synthase) (P1/Pk synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase)	A4GALT A14GALT A4GALT1	Homo sapiens (Human)	353
A4GCT_HUMAN	Q9UNA3	A4GCT_HUMAN	reviewed	Alpha-1,4-N-acetylglucosaminyltransferase (Alpha4GnT) (EC 2.4.1.-)	A4GNT	Homo sapiens (Human)	340
AAAS_HUMAN	Q9NRG9	AAAS_HUMAN	reviewed	Aladin (Adracalin)	AAAS ADRACALA GL003	Homo sapiens (Human)	546
AACS_HUMAN	Q86V21	AACS_HUMAN	reviewed	Acetoacetyl-CoA synthetase (EC 6.2.1.16) (Acyl-CoA synthetase family member 1) (Protein sur-5 homolog)	AACS ACSF1	Homo sapiens (Human)	672
AAAD_HUMAN	P22760	AAAD_HUMAN	reviewed	Arylacetamide deacetylase (EC 3.1.1.3)	AADAC DAC	Homo sapiens (Human)	399
ADCL2_HUMAN	Q6P093	ADCL2_HUMAN	reviewed	Arylacetamide deacetylase-like 2 (EC 3.1.1.-)	AADACL2	Homo sapiens (Human)	401
ADCL3_HUMAN	Q5VUY0	ADCL3_HUMAN	reviewed	Arylacetamide deacetylase-like 3 (EC 3.1.1.-)	AADACL3	Homo sapiens (Human)	407
ADCL4_HUMAN	Q5VUY2	ADCL4_HUMAN	reviewed	Arylacetamide deacetylase-like 4 (EC 3.1.1.-)	AADACL4	Homo sapiens (Human)	407
AAGAB_HUMAN	Q6PD74	AAGAB_HUMAN	reviewed	Alpha- and gamma-adaptin-binding protein p34	AAGAB	Homo sapiens (Human)	315
AAK1_HUMAN	Q2M2I8	AAK1_HUMAN	reviewed	AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	AAK1 KIAA1048	Homo sapiens (Human)	961
AAMDC_HUMAN	Q9H7C9	AAMDC_HUMAN	reviewed	Mth938 domain-containing protein (Adipogenesis associated Mth938 domain-containing protein)	AAMDC C11orf67 PTD015	Homo sapiens (Human)	122
AAMP_HUMAN	Q13685	AAMP_HUMAN	reviewed	Angio-associated migratory cell protein	AAMP	Homo sapiens (Human)	434
SNAT_HUMAN	Q16613	SNAT_HUMAN	reviewed	Serotonin N-acetyltransferase (Serotonin acetylase) (EC 2.3.1.87) (Aralkylamine N-acetyltransferase) (AA-NAT)	AANAT SNAT	Homo sapiens (Human)	207
AAR2_HUMAN	Q9Y312	AAR2_HUMAN	reviewed	Protein AAR2 homolog (AAR2 splicing factor homolog)	AAR2 C20orf4 CGI-23 PRO0225	Homo sapiens (Human)	384
SYAC_HUMAN	P49588	SYAC_HUMAN	reviewed	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)	AARS1 AARS	Homo sapiens (Human)	968
SYAM_HUMAN	Q5JTZ9	SYAM_HUMAN	reviewed	Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	AARS2 AARSL KIAA1270	Homo sapiens (Human)	985
AASD1_HUMAN	Q9BTE6	AASD1_HUMAN	reviewed	Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1)	AARSD1	Homo sapiens (Human)	412
ACSF4_HUMAN	Q4L235	ACSF4_HUMAN	reviewed	Beta-alanine-activating enzyme (EC 6.2.1.-) (Acyl-CoA synthetase family member 4) (Protein NRPS998)	AASDH ACSF4 U26 HSPC318	Homo sapiens (Human)	1098
ADPPT_HUMAN	Q9NRN7	ADPPT_HUMAN	reviewed	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.7) (4'-phosphopantetheinyl transferase) (Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT) (LYS5 ortholog)	AASDHPPT CGI-80 HAH-P HSPC223 x0005	Homo sapiens (Human)	309
AASS_HUMAN	Q9UDR5	AASS_HUMAN	reviewed	Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase (LKR) (LOR) (EC 1.5.1.8); Saccharopine dehydrogenase (SDH) (EC 1.5.1.9)]	AASS	Homo sapiens (Human)	926
AATF_HUMAN	Q9NY61	AATF_HUMAN	reviewed	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)	AATF CHE1 DED HSPC277	Homo sapiens (Human)	560
LMTK1_HUMAN	Q6ZMQ8	LMTK1_HUMAN	reviewed	Serine/threonine-protein kinase LMTK1 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase) (AATYK) (Brain apoptosis-associated tyrosine kinase) (CDK5-binding protein) (Lemur tyrosine kinase 1) (p35-binding protein) (p35BP)	AATK AATYK KIAA0641 LMR1 LMTK1	Homo sapiens (Human)	1374
GABT_HUMAN	P80404	GABT_HUMAN	reviewed	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)	ABAT GABAT	Homo sapiens (Human)	500
ABCA1_HUMAN	O95477	ABCA1_HUMAN	reviewed	Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	ABCA1 ABC1 CERP	Homo sapiens (Human)	2261
ABCAC_HUMAN	Q86UK0	ABCAC_HUMAN	reviewed	Glucosylceramide transporter ABCA12 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 12) (ATP-binding cassette transporter 12) (ATP-binding cassette 12)	ABCA12 ABC12	Homo sapiens (Human)	2595
ABCAD_HUMAN	Q86UQ4	ABCAD_HUMAN	reviewed	ATP-binding cassette sub-family A member 13 (EC 7.6.2.-)	ABCA13	Homo sapiens (Human)	5058
ABCA3_HUMAN	Q99758	ABCA3_HUMAN	reviewed	Phospholipid-transporting ATPase ABCA3 (EC 7.6.2.1) (ABC-C transporter) (ATP-binding cassette sub-family A member 3) (ATP-binding cassette transporter 3) (ATP-binding cassette 3) (Xenobiotic-transporting ATPase ABCA3) (EC 7.6.2.2) [Cleaved into: 150 Kda mature form]	ABCA3 ABC3	Homo sapiens (Human)	1704
ABCA4_HUMAN	P78363	ABCA4_HUMAN	reviewed	Retinal-specific phospholipid-transporting ATPase ABCA4 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 4) (RIM ABC transporter) (RIM proteinv) (RmP) (Retinal-specific ATP-binding cassette transporter) (Stargardt disease protein)	ABCA4 ABCR	Homo sapiens (Human)	2273
ABCA5_HUMAN	Q8WWZ7	ABCA5_HUMAN	reviewed	Cholesterol transporter ABCA5 (EC 7.6.2.-) (ATP-binding cassette sub-family A member 5)	ABCA5 KIAA1888	Homo sapiens (Human)	1642
ABCA6_HUMAN	Q8N139	ABCA6_HUMAN	reviewed	ATP-binding cassette sub-family A member 6 (EC 7.6.2.-)	ABCA6	Homo sapiens (Human)	1617
ABCA7_HUMAN	Q8IZY2	ABCA7_HUMAN	reviewed	Phospholipid-transporting ATPase ABCA7 (EC 7.6.2.1) (ABCA-SSN) (ATP-binding cassette sub-family A member 7) (Autoantigen SS-N) (Macrophage ABC transporter)	ABCA7	Homo sapiens (Human)	2146
ABCA9_HUMAN	Q8IUA7	ABCA9_HUMAN	reviewed	ATP-binding cassette sub-family A member 9 (EC 7.6.2.-)	ABCA9	Homo sapiens (Human)	1624
MDR1_HUMAN	P08183	MDR1_HUMAN	reviewed	ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)	ABCB1 MDR1 PGY1	Homo sapiens (Human)	1280
ABCBA_HUMAN	Q9NRK6	ABCBA_HUMAN	reviewed	ATP-binding cassette sub-family B member 10, mitochondrial (ABC-mitochondrial erythroid protein) (ABC-me protein) (ATP-binding cassette transporter 10) (ABC transporter 10 protein) (Mitochondrial ATP-binding cassette 2) (M-ABC2)	ABCB10	Homo sapiens (Human)	738
ABCBB_HUMAN	O95342	ABCBB_HUMAN	reviewed	Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11)	ABCB11 BSEP	Homo sapiens (Human)	1321
MDR3_HUMAN	P21439	MDR3_HUMAN	reviewed	Phosphatidylcholine translocator ABCB4 (EC 7.6.2.1) (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 3) (P-glycoprotein 3)	ABCB4 MDR3 PGY3	Homo sapiens (Human)	1286
ABCB5_HUMAN	Q2M3G0	ABCB5_HUMAN	reviewed	ATP-binding cassette sub-family B member 5 (ABCB5 P-gp) (P-glycoprotein ABCB5) (EC 7.6.2.2)	ABCB5	Homo sapiens (Human)	1257
ABCB6_HUMAN	Q9NP58	ABCB6_HUMAN	reviewed	ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5) (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)	ABCB6 MTABC3 PRP UMAT	Homo sapiens (Human)	842
ABCB7_HUMAN	O75027	ABCB7_HUMAN	reviewed	Iron-sulfur clusters transporter ABCB7, mitochondrial (ATP-binding cassette sub-family B member 7, mitochondrial) (ATP-binding cassette transporter 7) (ABC transporter 7 protein)	ABCB7 ABC7	Homo sapiens (Human)	752
ABCB9_HUMAN	Q9NP78	ABCB9_HUMAN	reviewed	ABC-type oligopeptide transporter ABCB9 (EC 7.4.2.6) (ATP-binding cassette sub-family B member 9) (ATP-binding cassette transporter 9) (ABC transporter 9 protein) (hABCB9) (TAP-like protein) (TAPL)	ABCB9 KIAA1520	Homo sapiens (Human)	766
MRP1_HUMAN	P33527	MRP1_HUMAN	reviewed	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)	ABCC1 MRP MRP1	Homo sapiens (Human)	1531
MRP7_HUMAN	Q5T3U5	MRP7_HUMAN	reviewed	ATP-binding cassette sub-family C member 10 (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 7)	ABCC10 MRP7 SIMRP7	Homo sapiens (Human)	1492
MRP9_HUMAN	Q96J65	MRP9_HUMAN	reviewed	ATP-binding cassette sub-family C member 12 (Multidrug resistance-associated protein 9)	ABCC12 MRP9	Homo sapiens (Human)	1359
MRP2_HUMAN	Q92887	MRP2_HUMAN	reviewed	ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multidrug resistance protein) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2)	ABCC2 CMOAT CMOAT1 CMRP MRP2	Homo sapiens (Human)	1545
MRP3_HUMAN	O15438	MRP3_HUMAN	reviewed	ATP-binding cassette sub-family C member 3 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multispecific organic anion transporter 2) (Multi-specific organic anion transporter D) (MOAT-D) (Multidrug resistance-associated protein 3)	ABCC3 CMOAT2 MLP2 MRP3	Homo sapiens (Human)	1527
MRP4_HUMAN	O15439	MRP4_HUMAN	reviewed	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)	ABCC4 MOATB MRP4	Homo sapiens (Human)	1325
MRP5_HUMAN	O15440	MRP5_HUMAN	reviewed	ATP-binding cassette sub-family C member 5 (EC 7.6.2.-) (EC 7.6.2.2) (Multi-specific organic anion transporter C) (MOAT-C) (Multidrug resistance-associated protein 5) (SMRP) (pABC11)	ABCC5 MRP5	Homo sapiens (Human)	1437
MRP6_HUMAN	O95255	MRP6_HUMAN	reviewed	ATP-binding cassette sub-family C member 6 (EC 7.6.2.-) (EC 7.6.2.3) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E) (Multidrug resistance-associated protein 6)	ABCC6 ARA MRP6	Homo sapiens (Human)	1503
ABCC8_HUMAN	Q09428	ABCC8_HUMAN	reviewed	ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1)	ABCC8 HRINS SUR SUR1	Homo sapiens (Human)	1581
ABCC9_HUMAN	O60706	ABCC9_HUMAN	reviewed	ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2)	ABCC9 SUR2	Homo sapiens (Human)	1549
ABCD1_HUMAN	P33897	ABCD1_HUMAN	reviewed	ATP-binding cassette sub-family D member 1 (EC 3.1.2.-) (EC 7.6.2.-) (Adrenoleukodystrophy protein) (ALDP)	ABCD1 ALD	Homo sapiens (Human)	745
ABCD2_HUMAN	Q9UBJ2	ABCD2_HUMAN	reviewed	ATP-binding cassette sub-family D member 2 (EC 3.1.2.-) (EC 7.6.2.-) (Adrenoleukodystrophy-like 1) (Adrenoleukodystrophy-related protein) (hALDR)	ABCD2 ALD1 ALDL1 ALDR ALDRP	Homo sapiens (Human)	740
ABCD3_HUMAN	P28288	ABCD3_HUMAN	reviewed	ATP-binding cassette sub-family D member 3 (EC 3.1.2.-) (EC 7.6.2.-) (70 kDa peroxisomal membrane protein) (PMP70)	ABCD3 PMP70 PXMP1	Homo sapiens (Human)	659
ABCD4_HUMAN	O14678	ABCD4_HUMAN	reviewed	Lysosomal cobalamin transporter ABCD4 (EC 7.6.2.8) (ATP-binding cassette sub-family D member 4) (PMP70-related protein) (P70R) (Peroxisomal membrane protein 1-like) (PXMP1-L) (Peroxisomal membrane protein 69) (PMP69)	ABCD4 PXMP1L	Homo sapiens (Human)	606
ABCE1_HUMAN	P61221	ABCE1_HUMAN	reviewed	ATP-binding cassette sub-family E member 1 (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I)	ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40	Homo sapiens (Human)	599
ABCF1_HUMAN	Q8NE71	ABCF1_HUMAN	reviewed	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein)	ABCF1 ABC50	Homo sapiens (Human)	845
ABCF2_HUMAN	Q9UG63	ABCF2_HUMAN	reviewed	ATP-binding cassette sub-family F member 2 (Iron-inhibited ABC transporter 2)	ABCF2 HUSSY-18	Homo sapiens (Human)	623
ABCF3_HUMAN	Q9NUQ8	ABCF3_HUMAN	reviewed	ATP-binding cassette sub-family F member 3	ABCF3	Homo sapiens (Human)	709
ABCG1_HUMAN	P45844	ABCG1_HUMAN	reviewed	ATP-binding cassette sub-family G member 1 (EC 7.6.2.-) (ATP-binding cassette transporter 8) (White protein homolog)	ABCG1 ABC8 WHT1	Homo sapiens (Human)	678
ABCG2_HUMAN	Q9UNQ0	ABCG2_HUMAN	reviewed	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)	ABCG2 ABCP BCRP BCRP1 MXR	Homo sapiens (Human)	655
ABCG4_HUMAN	Q9H172	ABCG4_HUMAN	reviewed	ATP-binding cassette sub-family G member 4 (EC 7.6.2.-)	ABCG4 WHITE2	Homo sapiens (Human)	646
ABCG5_HUMAN	Q9H222	ABCG5_HUMAN	reviewed	ATP-binding cassette sub-family G member 5 (EC 7.6.2.-) (Sterolin-1)	ABCG5	Homo sapiens (Human)	651
ABCG8_HUMAN	Q9H221	ABCG8_HUMAN	reviewed	ATP-binding cassette sub-family G member 8 (EC 7.6.2.-) (Sterolin-2)	ABCG8	Homo sapiens (Human)	673
ABHD1_HUMAN	Q96SE0	ABHD1_HUMAN	reviewed	Protein ABHD1 (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 1) (Abhydrolase domain-containing protein 1) (Lung alpha/beta hydrolase 1)	ABHD1 LABH1	Homo sapiens (Human)	405
ABHDA_HUMAN	Q9NUJ1	ABHDA_HUMAN	reviewed	Palmitoyl-protein thioesterase ABHD10, mitochondrial (EC 3.1.2.22) (Acyl-protein thioesterase ABHD10) (Alpha/beta hydrolase domain-containing protein 10) (Abhydrolase domain-containing protein 10) (Mycophenolic acid acyl-glucuronide esterase, mitochondrial) (EC 3.1.1.93)	ABHD10	Homo sapiens (Human)	306
ABHDB_HUMAN	Q8NFV4	ABHDB_HUMAN	reviewed	Protein ABHD11 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 11) (Abhydrolase domain-containing protein 11) (Williams-Beuren syndrome chromosomal region 21 protein)	ABHD11 WBSCR21 PP1226	Homo sapiens (Human)	315
ABD12_HUMAN	Q8N2K0	ABD12_HUMAN	reviewed	Lysophosphatidylserine lipase ABHD12 (EC 3.1.-.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (hABHD12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-)	ABHD12 C20orf22	Homo sapiens (Human)	398
AB12B_HUMAN	Q7Z5M8	AB12B_HUMAN	reviewed	Protein ABHD12B (EC 3.-.-.-) (Abhydrolase domain-containing protein 12B) (Alpha/beta hydrolase domain-containing protein 12B)	ABHD12B C14orf29	Homo sapiens (Human)	362
ABHDD_HUMAN	Q7L211	ABHDD_HUMAN	reviewed	Protein ABHD13 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 13) (Abhydrolase domain-containing protein 13)	ABHD13 C13orf6	Homo sapiens (Human)	337
ABHEA_HUMAN	Q9BUJ0	ABHEA_HUMAN	reviewed	Protein ABHD14A (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14A) (Abhydrolase domain-containing protein 14A)	ABHD14A UNQ1913/PRO4373	Homo sapiens (Human)	271
ABHEB_HUMAN	Q96IU4	ABHEB_HUMAN	reviewed	Protein ABHD14B (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14B) (Abhydrolase domain-containing protein 14B) (CCG1-interacting factor B)	ABHD14B CIB	Homo sapiens (Human)	210
ABH15_HUMAN	Q6UXT9	ABH15_HUMAN	reviewed	Protein ABHD15 (Alpha/beta hydrolase domain-containing protein 15) (Abhydrolase domain-containing protein 15)	ABHD15 UNQ6510/PRO21435	Homo sapiens (Human)	468
ABHGA_HUMAN	O95870	ABHGA_HUMAN	reviewed	Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5) (hBAT5) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23) (Protein G5)	ABHD16A BAT5 G5 NG26 PP199	Homo sapiens (Human)	558
